Image;La2_length;La2_mm;La3_length;La3_mm;La4_length;La4_mm;Ra2_length;Ra2_mm;Ra3_length;Ra3_mm;Ra4_length;Ra4_mm;Body_length;Body_mm
img (24).JPG;114.7720563;0.23167241;154.2973918;0.311456026;161.4588834;0.32591181;78.26174234;0.157974746;128.4884663;0.259359583;108.7609106;0.21953865;2077.264541;4.193049228
;;;;;;;;;;;;;;
img (241).JPG;119.2561122;0.240723673;147.3077645;0.297347158;156.3178467;0.315534403;119.3942463;0.241002502;142.4435927;0.287528615;151.6817038;0.306176146;2183.938818;4.408375915
;;;;;;;;;;;;;;
img (243).JPG;110.0018964;0.222043634;128.512221;0.259407533;132.8203945;0.268103769;101.3291907;0.204537398;137.8288279;0.278213511;136.3917258;0.275312657;2114.236161;4.267678058
;;;;;;;;;;;;;;
img (245).JPG;114.062038;0.230239207;142.9249236;0.288500202;140.9015137;0.284415861;109.4059886;0.220840768;138.8075164;0.280189036;139.928611;0.282452015;2217.957063;4.477043229
;;;;;;;;;;;;;;
img (247).JPG;114.3977315;0.230916819;143.7953054;0.290257106;148.7445907;0.300247455;111.1637336;0.224388853;137.5629164;0.277676757;161.6475868;0.326292716;2172.739642;4.385769891
;;;;;;;;;;;;;;
img (249).JPG;124.428999;0.251165371;136.9665955;0.276473057;144.260421;0.291195962;115.4585568;0.233058141;143.8745899;0.290417145;150.2795076;0.303345751;2389.315524;4.82293777
;;;;;;;;;;;;;;
img (251).JPG;100.3887623;0.202639102;133.6711061;0.269820967;144.3355334;0.29134758;104.8467044;0.211637653;130.7014699;0.263826627;147.1523152;0.297033377;2188.499339;4.417581527
;;;;;;;;;;;;;;
img (252).JPG;98.61446832;0.199057613;123.6449206;0.249582674;122.9478891;0.248175686;113.8553725;0.229822043;140.2931238;0.283187799;141.2962483;0.28521265;2104.384565;4.24779218
;;;;;;;;;;;;;;
img (254).JPG;107.1860553;0.216359735;141.3369583;0.285294825;141.0882364;0.284792769;110.0563405;0.222153531;132.5882369;0.267635149;156.797293;0.316502186;2118.360314;4.276002841
;;;;;;;;;;;;;;
img (255).JPG;121.0762954;0.244397792;140.1522169;0.282903373;147.4690275;0.297672675;105.0395348;0.21202689;134.9529773;0.272408481;146.5574039;0.295832523;2061.466372;4.161159932
;;;;;;;;;;;;;;
img (257).JPG;123.6689768;0.249631232;162.3862789;0.327783798;163.6890465;0.330413492;115.8553058;0.233858996;149.5437522;0.301860597;160.7539488;0.324488869;2068.743192;4.175848512
;;;;;;;;;;;;;;
img (259).JPG;103.1412251;0.208195069;133.1294891;0.26872769;132.4370425;0.267329956;102.2398731;0.206375651;150.4427702;0.303675304;161.5013558;0.325997542;2124.125525;4.287640172
;;;;;;;;;;;;;;
img (26).JPG;112.6856947;0.227460998;138.6872499;0.279946273;168.0101183;0.339135764;136.9488986;0.276437335;156.2882062;0.315474572;161.3245792;0.325640711;2212.238693;4.465500451
;;;;;;;;;;;;;;
img (261).JPG;111.4441488;0.224954883;143.6659076;0.289995911;155.3906958;0.313662908;106.7477061;0.215474908;144.8358719;0.292357535;146.2952574;0.295303368;2102.5002;4.243988508
;;;;;;;;;;;;;;
img (263).JPG;106.6220447;0.215221255;126.7260692;0.255802107;143.1208477;0.288895684;101.3484511;0.204576276;134.7858116;0.272071049;141.7641234;0.286157076;1852.749451;3.73985571
;;;;;;;;;;;;;;
img (265).JPG;111.5257523;0.225119603;135.5368756;0.273587105;147.1509634;0.297030648;102.0282113;0.205948402;129.9484473;0.262306618;148.5178284;0.299789725;2183.913235;4.408324276
;;;;;;;;;;;;;;
img (267).JPG;100.9631245;0.203798478;116.677065;0.235517753;128.1409554;0.258658117;89.35586475;0.180368717;126.4474675;0.255239737;127.8789971;0.258129342;1788.995984;3.611166551
;;;;;;;;;;;;;;
img (269).JPG;120.1292689;0.242486177;132.0319872;0.266512334;149.7436728;0.302264146;103.0050869;0.207920268;138.3629063;0.279291571;149.2200417;0.301207173;2296.37036;4.635323895
;;;;;;;;;;;;;;
img (271).JPG;88.35819549;0.178354878;104.0377893;0.210004823;117.3883217;0.236953456;88.04395068;0.177720561;96.74899193;0.195292067;108.576056;0.219165513;1663.151578;3.35714412
;;;;;;;;;;;;;;
img (273).JPG;94.61519177;0.190984898;112.8110013;0.227713935;145.2229477;0.293138864;94.98563862;0.191732661;148.5262229;0.29980667;137.4873734;0.27752427;2129.948463;4.299394025
;;;;;;;;;;;;;;
img (275).JPG;107.1589021;0.216304925;119.4103116;0.241034931;129.1504934;0.260695913;112.5977943;0.227283567;125.1565224;0.252633908;136.3700866;0.275268978;2006.913474;4.051042524
;;;;;;;;;;;;;;
img (277).JPG;108.0107985;0.218024515;117.8863564;0.237958761;134.5709427;0.271637327;75.65510421;0.152713133;135.7460704;0.274009374;127.534953;0.257434874;2003.193244;4.043533078
;;;;;;;;;;;;;;
img (279).JPG;120.2692294;0.242768694;146.3305256;0.295374559;152.1715806;0.307164983;108.2069039;0.218420363;136.9213042;0.276381634;151.1170981;0.305036465;2164.858951;4.36986237
;;;;;;;;;;;;;;
img (281).JPG;92.60453473;0.186926299;106.0841636;0.214135519;102.006561;0.2059047;103.5449929;0.209010092;138.6537989;0.279878751;129.3476646;0.261093912;1930.926542;3.897659583
;;;;;;;;;;;;;;
img (283).JPG;100.2649008;0.202389083;126.5247102;0.255395655;128.9407079;0.260272452;98.46974456;0.198765481;133.9361578;0.270355986;131.9077752;0.266261607;1868.68047;3.772013167
;;;;;;;;;;;;;;
img (286).JPG;109.5395713;0.22111041;137.9099728;0.278377305;150.9636954;0.304726814;109.9331756;0.221904918;145.4674325;0.293632368;147.8481399;0.29843793;2031.657387;4.100989194
;;;;;;;;;;;;;;
