Image,La2_length,La2_mm,La3_length,La3_mm,La4_length,La4_mm,Ra2_length,Ra2_mm,Ra3_length,Ra3_mm,Ra4_length,Ra4_mm,Body_length,Body_mm
img (1204).JPG,91.37788331,0.18112061,122.1452511,0.24210478,120.3392447,0.238525085,93.73480327,0.185792274,123.863533,0.245510596,129.373436,0.256431806,2212.468362,4.385345822
,,,,,,,,,,,,,,
img (1206).JPG,120.8137224,0.23946555,134.8492,0.267285348,137.4727086,0.272485419,113.648341,0.225263008,135.5517324,0.268677841,139.8365137,0.27717073,,
,,,,,,,,,,,,,,
img (1207).JPG,,,,,,,,,,,,,2167.042572,4.295307111
,,,,,,,,,,,,,,
img (1209).JPG,105.1899738,0.208497631,125.7525284,0.249254785,122.8468809,0.243495485,108.0344161,0.214135616,131.1577058,0.259968417,125.9730482,0.249691878,2135.427631,4.232642962
,,,,,,,,,,,,,,
img (1211).JPG,89.86543645,0.17812278,110.7773662,0.219572433,122.1580615,0.242130172,84.34473396,0.167180165,116.0263768,0.229976525,119.8153839,0.237486737,2001.757942,3.96769553
,,,,,,,,,,,,,,
img (1213).JPG,101.4309115,0.201046773,134.0514013,0.265704027,143.0129018,0.283466667,94.86103038,0.188024575,139.7110634,0.276922074,132.4620518,0.262553768,2098.227371,4.15890812
,,,,,,,,,,,,,,
img (1217).JPG,111.1766698,0.220363894,138.5244064,0.274569995,149.7773734,0.296874563,103.7829207,0.205708703,144.9911514,0.287387766,151.3039268,0.299900353,2212.224504,4.384862469
,,,,,,,,,,,,,,
img (1220).JPG,100.2602451,0.198726388,138.2916059,0.27410856,146.6246221,0.290625477,105.4284181,0.208970253,129.9026252,0.257480715,138.1406768,0.273809402,2253.484222,4.466643586
,,,,,,,,,,,,,,
img (1222).JPG,110.510219,0.219042919,129.2945371,0.25627542,130.5581942,0.258780121,108.6331516,0.215322373,133.1472724,0.263911948,122.400898,0.242611499,2122.802199,4.207618022
,,,,,,,,,,,,,,
img (1224).JPG,87.01484329,0.172472604,77.33341028,0.153282982,74.04275484,0.146760555,83.31007761,0.165129367,80.39327688,0.15934796,79.02651214,0.156638888,,
,,,,,,,,,,,,,,
img (1225).JPG,,,,,,,,,,,,,1663.728222,3.297684944
,,,,,,,,,,,,,,
img (1227).JPG,68.05487016,0.134891936,79.26086474,0.1571034,76.55826751,0.151746567,62.88686274,0.1246484,77.66880482,0.153947769,70.8540817,0.140440269,1463.83557,2.90147661
,,,,,,,,,,,,,,
img (1229).JPG,78.87921932,0.156346938,84.88469176,0.168250419,79.23327338,0.157048711,80.65748214,0.159871643,83.06288485,0.164639405,76.40928924,0.151451276,1654.316538,3.279029993
,,,,,,,,,,,,,,
img (1231).JPG,99.44581917,0.19711211,120.0982814,0.23804747,128.2669789,0.254238691,106.767598,0.211624649,125.2567834,0.248272166,128.208878,0.254123529,2129.876187,4.221639414
,,,,,,,,,,,,,,
img (1233).JPG,107.3675355,0.212813788,131.8043538,0.261250141,140.8601379,0.279199661,101.781168,0.201741018,133.1029275,0.263824051,138.8840717,0.27528289,,
,,,,,,,,,,,,,,
img (1234).JPG,,,,,,,,,,,,,2211.899786,4.384218844
,,,,,,,,,,,,,,
img (1237).JPG,112.7230187,0.223428921,129.3791566,0.256443144,126.5569634,0.25084926,97.17431386,0.192609747,129.7474002,0.257173042,128.6112652,0.254921103,2195.046055,4.350812971
,,,,,,,,,,,,,,
img (1240).JPG,113.1854067,0.224345423,137.2118003,0.271968271,150.1377416,0.297588851,121.1132526,0.24005925,160.0086201,0.317153974,121.9845996,0.241786352,2474.505127,4.904730349
,,,,,,,,,,,,,,
img (1243).JPG,111.991259,0.221978496,120.1648618,0.23817944,136.354302,0.270268619,100.9525016,0.200098514,134.5331092,0.266658823,124.4285171,0.246630455,2143.753844,4.249146394
,,,,,,,,,,,,,,
img (1245).JPG,100.8038879,0.199803946,131.681537,0.261006705,129.908638,0.257492632,97.95029434,0.194147822,124.6699199,0.24710894,109.8648733,0.217763775,2136.101981,4.233979594
,,,,,,,,,,,,,,
img (1249).JPG,111.5585785,0.221120878,124.5407943,0.246853,143.3559915,0.284146707,114.9247475,0.22779298,133.5842019,0.264777988,136.2039466,0.269970599,2149.719065,4.260970092
,,,,,,,,,,,,,,
img (1251).JPG,94.51671981,0.187342115,124.7968707,0.24736057,129.8357898,0.25734824,84.13208171,0.166758666,126.8620441,0.251453962,119.4962453,0.236854171,2051.184409,4.065664003
,,,,,,,,,,,,,,
img (1253).JPG,110.5117818,0.219046016,117.0367473,0.231979186,123.3395282,0.244471964,107.5398516,0.213155337,126.0886377,0.249920989,124.4034941,0.246580856,2182.267603,4.325484729
,,,,,,,,,,,,,,
img (1255).JPG,111.4942808,0.220993433,117.4575344,0.232813231,121.6576921,0.241138387,92.82907799,0.183997031,112.6272588,0.223239115,104.3731689,0.206878637,2253.183848,4.466048213
,,,,,,,,,,,,,,
img (1257).JPG,103.6433655,0.20543209,133.5068336,0.264624636,121.3665309,0.240561275,95.58118352,0.189451994,130.5029084,0.258670539,127.5596776,0.252836745,2101.463938,4.165323337
,,,,,,,,,,,,,,
img (1259).JPG,81.63191452,0.161803071,86.27120745,0.170998639,75.70068894,0.150046756,82.09202621,0.162715061,85.92657068,0.170315533,79.41994752,0.157418719,1536.088822,3.044690181
,,,,,,,,,,,,,,
img (1261).JPG,106.2105517,0.210520524,124.9010488,0.247567062,122.0870855,0.24198949,105.2659005,0.208648126,133.1462196,0.263909861,130.8727276,0.25940356,2210.957082,4.382350306
,,,,,,,,,,,,,,
img (1263).JPG,72.99608578,0.144685947,93.55538441,0.185436647,99.2355849,0.196695404,99.99888913,0.198208353,119.2829732,0.236431443,112.9970734,0.223972126,2023.17147,4.010139401
,,,,,,,,,,,,,,
img (1266).JPG,102.4024888,0.202972542,124.6567996,0.247082934,145.1697195,0.287741707,101.0817884,0.200354774,142.0356548,0.28152966,138.3817249,0.274287185,2145.44856,4.252505501
,,,,,,,,,,,,,,
img (1268).JPG,105.8907051,0.209886554,122.7397237,0.243283088,129.1447262,0.255978479,109.1716068,0.216389648,127.3338509,0.252389133,131.0854547,0.259825207,2070.935443,4.104812637
,,,,,,,,,,,,,,
img (1270).JPG,89.02758447,0.176462069,124.9222873,0.247609159,122.671805,0.243148466,96.3199117,0.190916232,112.0193665,0.222034208,115.131182,0.228202155,2067.691767,4.098383329
,,,,,,,,,,,,,,
img (1272).JPG,98.37958357,0.194998719,119.1196908,0.2361078,132.3059545,0.262244367,93.78191543,0.185885655,137.0166311,0.271581425,127.2625325,0.252247772,2084.514319,4.131727403
,,,,,,,,,,,,,,
img (1274).JPG,95.25606987,0.188807585,120.5281632,0.238899541,122.1671915,0.242148268,93.50346809,0.185333743,125.2612193,0.248280958,125.4012407,0.248558495,1998.592027,3.961420352
,,,,,,,,,,,,,,
img (1276).JPG,107.4004615,0.212879051,121.7999444,0.241420346,123.9286436,0.245639652,99.20803826,0.196640803,126.1869613,0.250115876,118.7657753,0.235406303,2191.967959,4.34471186
,,,,,,,,,,,,,,
img (1279).JPG,97.72987305,0.193710924,124.7433018,0.247254391,126.0144726,0.249773986,95.68526506,0.189658295,118.6767162,0.235229778,123.9316222,0.245645556,2199.48558,4.359612577
,,,,,,,,,,,,,,
img (1281).JPG,108.5544484,0.215166375,121.4376174,0.240702176,134.2586038,0.266114724,89.0084517,0.176424146,139.3592903,0.276224823,132.1683955,0.26197171,2042.965809,4.049373871
,,,,,,,,,,,,,,
img (1283).JPG,109.2361878,0.216517654,129.8992041,0.257473934,133.9393383,0.265481906,111.4682769,0.22094189,140.9799574,0.279437156,136.7767091,0.271105874,,
,,,,,,,,,,,,,,
img (1284).JPG,,,,,,,,,,,,,2126.780984,4.215504395
,,,,,,,,,,,,,,
img (1286).JPG,94.32968666,0.186971396,113.1672376,0.22430941,123.3272477,0.244447622,92.25017612,0.182849586,120.1909567,0.238231162,116.6574294,0.231227338,1986.195132,3.936848397
,,,,,,,,,,,,,,
img (1288).JPG,95.81299646,0.189911472,127.0843716,0.251894638,130.1326559,0.25793666,99.93212382,0.198076017,128.2670746,0.254238881,123.5665993,0.244922042,2118.68,4.199447389
,,,,,,,,,,,,,,
img (1290).JPG,106.9922238,0.212069881,125.5933187,0.248939214,,,110.0836364,0.218197387,125.1904835,0.248140752,127.8351888,0.253382837,2164.049449,4.289374425
,,,,,,,,,,,,,,
img (1292).JPG,97.62464849,0.193502358,107.9439146,0.213956232,110.3312036,0.218688091,97.98848133,0.194223513,128.323657,0.254351033,122.7818327,0.243366552,2111.581196,4.185376811
,,,,,,,,,,,,,,
img (1294).JPG,116.1004632,0.230123373,120.5510504,0.238944906,116.6381121,0.23118905,93.939626,0.186198254,131.6831229,0.261009849,123.3729336,0.244538177,2229.775348,4.419650094
,,,,,,,,,,,,,,
img (1296).JPG,111.5275562,0.221059388,121.0258664,0.239886042,123.4567879,0.244704385,92.32654736,0.183000962,134.0661593,0.265733279,119.8487674,0.237552907,2336.737699,4.631660764
,,,,,,,,,,,,,,
img (1298).JPG,103.109899,0.204374703,125.8695138,0.249486662,142.5404894,0.282530295,102.8651001,0.203889486,139.6803926,0.276861282,135.036918,0.267657425,2138.391815,4.238518287
,,,,,,,,,,,,,,
img (1300).JPG,95.60412793,0.189497473,128.4263082,0.254554498,128.9522377,0.255596946,98.71425301,0.195662069,138.763129,0.275043168,134.4646522,0.266523133,2180.571686,4.322123244
,,,,,,,,,,,,,,
img (1302).JPG,105.6163459,0.209342746,137.4951098,0.27252982,132.0611983,0.261759234,107.4041727,0.212886407,138.2759086,0.274077446,148.7648862,0.294867707,2222.198621,4.404632223
,,,,,,,,,,,,,,
img (1304).JPG,105.410752,0.208935237,136.9773166,0.2715035,141.1715215,0.279816856,106.0747687,0.210251388,134.8018854,0.267191565,1789.966999,3.547903524,,
,,,,,,,,,,,,,,
img (1306).JPG,110.2364608,0.218500301,142.4778884,0.282406213,143.4781302,0.284388798,101.8898128,0.201956364,147.3498398,0.292062936,146.8116735,0.290996233,2291.596949,4.542187033
,,,,,,,,,,,,,,
img (1308).JPG,101.3368729,0.200860378,137.2796114,0.27210268,126.3938813,0.250526014,97.77479192,0.193799958,127.3696085,0.252460008,125.3527391,0.24846236,2202.950466,4.366480347
,,,,,,,,,,,,,,
img (1310).JPG,100.3584159,0.198920973,131.1691264,0.259991054,126.9114803,0.25155195,96.2927397,0.190862374,123.4529815,0.24469684,123.6520062,0.245091328,2098.045184,4.158547005
,,,,,,,,,,,,,,
img (1312).JPG,108.3633969,0.21478769,140.1750624,0.277841769,137.6026575,0.272742991,113.0747078,0.224126006,143.1173609,0.283673715,144.6138085,0.286639833,2167.692542,4.29659542
,,,,,,,,,,,,,,
img (1314).JPG,104.7522663,0.207630049,128.9968957,0.255685463,139.8994609,0.277295498,106.1563675,0.210413125,129.1893825,0.256066992,134.6659621,0.266922151,2111.295133,4.184809803
,,,,,,,,,,,,,,
img (1316).JPG,100.3319288,0.198868473,115.7050488,0.22933962,131.6347093,0.260913888,99.78007401,0.197774639,133.3933728,0.264399745,130.1048599,0.257881565,2005.265619,3.974648116
,,,,,,,,,,,,,,
